Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
16,left_crosswalk,9.68338871002197,1.35640907287598,35700,10294,10294,25406,28.834733893557424,28.834733893557424,71.16526610644259
17,left_crosswalk,9.41161918640137,1.35549259185791,35700,9182,9170,26518,25.719887955182074,25.68627450980392,74.28011204481793
18,left_crosswalk,9.1399450302124,1.35452079772949,35700,8127,8127,27573,22.764705882352942,22.764705882352942,77.23529411764706
19,left_crosswalk,8.86820411682129,1.35349118709564,35700,7130,7130,28570,19.971988795518207,19.971988795518207,80.0280112044818
20,left_crosswalk,8.59651947021484,1.35240173339844,35700,6214,6214,29486,17.406162464985993,17.406162464985993,82.593837535014
21,left_crosswalk,8.32479000091553,1.35124945640564,35700,5367,5367,30333,15.033613445378153,15.033613445378153,84.96638655462185
22,left_crosswalk,8.05310916900635,1.35003197193146,35700,4597,4597,31103,12.876750700280112,12.876750700280112,87.12324929971989
23,left_crosswalk,7.7813982963562,1.34874546527863,35700,3924,3924,31776,10.991596638655462,10.991596638655462,89.00840336134453
24,left_crosswalk,7.50971746444702,1.34738731384277,35700,3324,3324,32376,9.310924369747898,9.310924369747898,90.6890756302521
25,left_crosswalk,7.23803329467773,1.34595310688019,35700,2812,2812,32888,7.8767507002801125,7.8767507002801125,92.12324929971989
26,left_crosswalk,6.9663519859314,1.34443879127502,35700,2400,2400,33300,6.722689075630252,6.722689075630252,93.27731092436974
27,left_crosswalk,6.69468069076538,1.34283912181854,35700,2066,2066,33634,5.787114845938375,5.787114845938375,94.21288515406162
28,left_crosswalk,6.42302322387695,1.34114944934845,35700,1823,1823,33877,5.106442577030813,5.106442577030813,94.8935574229692
29,left_crosswalk,6.15136003494263,1.33936309814453,35700,1658,1658,34042,4.644257703081232,4.644257703081232,95.35574229691876
30,left_crosswalk,5.87973546981812,1.33747363090515,35700,1538,1538,34162,4.30812324929972,4.30812324929972,95.69187675070027
31,left_crosswalk,5.60808277130127,1.33547258377075,35700,1456,1456,34244,4.07843137254902,4.07843137254902,95.92156862745098
32,left_crosswalk,5.33648824691772,1.33335220813751,35700,1405,1405,34295,3.9355742296918765,3.9355742296918765,96.06442577030812
33,left_crosswalk,5.06487417221069,1.33110058307648,35700,1348,1348,34352,3.7759103641456586,3.7759103641456586,96.22408963585434
34,left_crosswalk,4.79328346252441,1.32870709896088,35700,1280,1280,34420,3.5854341736694675,3.5854341736694675,96.41456582633053
35,left_crosswalk,4.52179574966431,1.32615756988525,35700,1186,1186,34514,3.3221288515406164,3.3221288515406164,96.67787114845939
36,left_crosswalk,4.25743389129639,1.32350301742554,35700,1077,1077,34623,3.0168067226890756,3.0168067226890756,96.98319327731092
37,left_crosswalk,3.97842717170715,1.32051384449005,35700,945,945,34755,2.6470588235294117,2.6470588235294117,97.35294117647058
38,left_crosswalk,3.70711517333984,1.31738090515137,35700,812,812,34888,2.2745098039215685,2.2745098039215685,97.72549019607844
39,left_crosswalk,3.43543553352356,1.31407237052917,35700,672,672,35028,1.8823529411764703,1.8823529411764703,98.11764705882354
40,left_crosswalk,3.169593334198,1.30820512771606,35700,658,658,35042,1.843137254901961,1.843137254901961,98.15686274509804
41,left_crosswalk,2.90604209899902,1.29676616191864,35700,704,704,34996,1.9719887955182074,1.9719887955182074,98.02801120448179
42,left_crosswalk,2.64408040046692,1.27930641174316,35700,765,765,34935,2.142857142857143,2.142857142857143,97.85714285714285
43,left_crosswalk,2.38375091552734,1.2551953792572,35700,849,849,34851,2.3781512605042017,2.3781512605042017,97.6218487394958
44,left_crosswalk,2.12507724761963,1.22367882728577,35700,969,969,34731,2.7142857142857144,2.7142857142857144,97.28571428571429
45,left_crosswalk,1.86913180351257,1.18405950069427,35700,1145,1145,34555,3.207282913165266,3.207282913165266,96.79271708683473
46,left_crosswalk,1.61641418933868,1.13548231124878,35700,1368,1368,34332,3.831932773109244,3.831932773109244,96.16806722689076
47,left_crosswalk,1.36763119697571,1.07702255249023,35700,1648,1648,34052,4.616246498599439,4.616246498599439,95.38375350140056
48,left_crosswalk,1.1237131357193,1.00770747661591,35700,1956,1954,33744,5.4789915966386555,5.473389355742297,94.52100840336134
49,left_crosswalk,0.88582468032837,0.92655903100967,35700,2292,2287,33408,6.42016806722689,6.406162464985994,93.5798319327731
50,left_crosswalk,0.6553390622139,0.83264648914337,35700,2747,2731,32953,7.694677871148459,7.649859943977591,92.30532212885154
51,left_crosswalk,0.43377807736397,0.72514832019806,35700,3531,3499,32169,9.890756302521009,9.801120448179272,90.10924369747899
52,left_crosswalk,0.22270333766937,0.60340940952301,35700,5149,5098,30551,14.422969187675069,14.280112044817928,85.57703081232492
53,left_crosswalk,0.02342061698437,0.46684038639069,35700,7654,7577,28046,21.439775910364144,21.224089635854344,78.56022408963585
54,left_crosswalk,-0.16244506835938,0.31551772356033,35700,10272,10167,25428,28.77310924369748,28.478991596638654,71.22689075630252
55,left_crosswalk,-0.33396792411804,0.14955234527588,35700,11947,11817,23753,33.464985994397765,33.10084033613445,66.53501400560225
56,left_crosswalk,-0.49043837189674,-0.03048342466354,35700,12061,11892,23639,33.78431372549019,33.3109243697479,66.2156862745098
57,left_crosswalk,-0.63159763813019,-0.22375060617924,35700,11710,11518,23990,32.80112044817927,32.26330532212885,67.19887955182074
58,left_crosswalk,-0.75754600763321,-0.42915672063828,35700,11603,11365,24097,32.50140056022409,31.83473389355742,67.4985994397759
59,left_crosswalk,-0.86871218681335,-0.64544981718063,35700,11661,11352,24039,32.66386554621849,31.798319327731093,67.33613445378151
60,left_crosswalk,-0.96570295095444,-0.8711017370224,35700,11819,11536,23881,33.10644257703081,32.31372549019608,66.89355742296918
