Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
89,left_crosswalk,-1.36044716835022,-8.55557727813721,2100,1769,1769,331,84.23809523809524,84.23809523809524,15.761904761904763
90,left_crosswalk,-1.35884308815002,-8.82734107971191,2100,1820,1820,280,86.66666666666667,86.66666666666667,13.333333333333334
91,left_crosswalk,-1.35712146759033,-9.09903430938721,2100,1871,1871,229,89.09523809523809,89.09523809523809,10.904761904761905
92,left_crosswalk,-1.35528349876404,-9.37069416046143,2100,1920,1920,180,91.42857142857143,91.42857142857143,8.571428571428571
93,left_crosswalk,-1.35333013534546,-9.64233589172363,2100,1963,1963,137,93.47619047619048,93.47619047619048,6.523809523809524
94,left_crosswalk,-1.35126209259033,-9.91389465332031,2100,2004,2004,96,95.42857142857143,95.42857142857143,4.571428571428571
95,left_crosswalk,-1.34908008575439,-10.1852684020996,2100,2029,2029,71,96.61904761904762,96.61904761904762,3.380952380952381
96,left_crosswalk,-1.34677386283875,-10.4573059082031,2100,2037,2037,63,97.0,97.0,3.0
97,left_crosswalk,-1.34436690807343,-10.7265434265137,2100,2031,2031,69,96.71428571428572,96.71428571428572,3.2857142857142856
98,left_crosswalk,-1.34177565574646,-11.0019359588623,2100,2007,2007,93,95.57142857142857,95.57142857142857,4.428571428571428
99,left_crosswalk,-1.33910465240479,-11.2698850631714,2100,1977,1977,123,94.14285714285714,94.14285714285714,5.857142857142858
