Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
42,left_crosswalk,2.64408040046692,1.27930641174316,18900,1133,1133,17767,5.994708994708995,5.994708994708995,94.005291005291
43,left_crosswalk,2.38375091552734,1.2551953792572,18900,1241,1241,17659,6.566137566137566,6.566137566137566,93.43386243386243
44,left_crosswalk,2.12507724761963,1.22367882728577,18900,1392,1392,17508,7.365079365079365,7.365079365079365,92.63492063492063
45,left_crosswalk,1.86913180351257,1.18405950069427,18900,1610,1610,17290,8.518518518518519,8.518518518518519,91.48148148148148
46,left_crosswalk,1.61641418933868,1.13548231124878,18900,1883,1883,17017,9.962962962962962,9.962962962962962,90.03703703703704
47,left_crosswalk,1.36763119697571,1.07702255249023,18900,2221,2221,16679,11.751322751322752,11.751322751322752,88.24867724867725
48,left_crosswalk,1.1237131357193,1.00770747661591,18900,2591,2591,16309,13.708994708994709,13.708994708994709,86.29100529100529
49,left_crosswalk,0.88582468032837,0.92655903100967,18900,2941,2941,15959,15.560846560846562,15.560846560846562,84.43915343915343
50,left_crosswalk,0.6553390622139,0.83264648914337,18900,3226,3226,15674,17.06878306878307,17.06878306878307,82.93121693121694
51,left_crosswalk,0.43377807736397,0.72514832019806,18900,3486,3486,15414,18.444444444444443,18.444444444444443,81.55555555555556
52,left_crosswalk,0.22270333766937,0.60340940952301,18900,4038,4038,14862,21.365079365079364,21.365079365079364,78.63492063492063
53,left_crosswalk,0.02342061698437,0.46684038639069,18900,5223,5218,13677,27.634920634920633,27.60846560846561,72.36507936507937
54,left_crosswalk,-0.16244506835938,0.31551772356033,18900,6665,6655,12235,35.264550264550266,35.21164021164021,64.73544973544973
55,left_crosswalk,-0.33396792411804,0.14955234527588,18900,7714,7690,11186,40.81481481481482,40.68783068783069,59.18518518518518
56,left_crosswalk,-0.49043837189674,-0.03048342466354,18900,8003,7968,10897,42.34391534391534,42.15873015873016,57.65608465608466
