point_id,local_x,local_y,local_z,global_x,global_y,global_z
40,8.84153175354004,0.00000458020804,-1.73920345306396,8.84153175354004,0.10000458359718,-1.73920345306396
41,8.73211288452148,0.00000534364517,-1.73876976966858,8.73211288452148,0.1000053435564,-1.73876976966858
42,8.62237071990967,0.0000060858747,-1.7383246421814,8.62237071990967,0.10000608861446,-1.7383246421814
43,8.51233291625977,0.00000680610538,-1.737868309021,8.51233291625977,0.1000068038702,-1.737868309021
44,8.40202522277832,0.00000750354775,-1.73740041255951,8.40202522277832,0.10000750422478,-1.73740041255951
45,8.29147911071777,0.00000817741238,-1.73692083358765,8.29147911071777,0.10000818222761,-1.73692083358765
46,8.18071937561035,0.0000088269062,-1.73642945289612,8.18071937561035,0.10000883042812,-1.73642945289612
47,8.06977558135986,0.00000945123611,-1.73592579364777,8.06977558135986,0.10000945627689,-1.73592579364777
48,7.95867443084717,0.00001004961268,-1.73541009426117,7.95867443084717,0.10001005232334,-1.73541009426117
49,7.84744310379028,0.00001062124647,-1.73488223552704,7.84744310379028,0.10001062601805,-1.73488223552704
50,7.73611116409302,0.0000111653444,-1.7343418598175,7.73611116409302,0.10001116991043,-1.7343418598175
51,7.62470483779907,0.00001168111339,-1.73378920555115,7.62470483779907,0.10001168400049,-1.73378920555115
52,7.51325225830078,0.000012167764,-1.73322355747223,7.51325225830078,0.10001216828823,-1.73322355747223
53,7.40178108215332,0.00001262450678,-1.73264503479004,7.40178108215332,0.10001262277365,-1.73264503479004
54,7.29031991958618,0.00001305054866,-1.73205351829529,7.29031991958618,0.10001305490732,-1.73205351829529
55,7.17889451980591,0.00001344509656,-1.73144900798798,7.17889451980591,0.10001344978809,-1.73144900798798
56,7.06753444671631,0.00001380736103,-1.73083114624023,7.06753444671631,0.10001380741596,-1.73083114624023
57,6.95626640319824,0.00001413655264,-1.73019981384277,6.95626640319824,0.10001413524151,-1.73019981384277
58,6.8451189994812,0.0000144318783,-1.7295548915863,6.8451189994812,0.10001443326473,-1.7295548915863
59,6.7341194152832,0.00001469254494,-1.72889637947083,6.7341194152832,0.10001469403505,-1.72889637947083
60,6.62329578399658,0.00001491776311,-1.72822391986847,6.62329578399658,0.10001491755247,-1.72822391986847
61,6.51267433166504,0.00001510674338,-1.72753739356995,6.51267433166504,0.10001511126757,-1.72753739356995
62,6.40228462219238,0.00001525869266,-1.72683691978455,6.40228462219238,0.10001526027918,-1.72683691978455
63,6.29215431213379,0.00001537281787,-1.72612190246582,6.29215431213379,0.10001537203789,-1.72612190246582
64,6.18231010437012,0.00001544832958,-1.72539258003235,6.18231010437012,0.10001544654369,-1.72539258003235
65,6.07277965545654,0.00001548443834,-1.72464859485626,6.07277965545654,0.1000154837966,-1.72464859485626
66,5.96359205245972,0.00001548035107,-1.72388982772827,5.96359205245972,0.1000154837966,-1.72388982772827
67,5.8547739982605,0.00001543527469,-1.72311639785767,5.8547739982605,0.10001543909311,-1.72311639785767
68,5.7463526725769,0.00001534841977,-1.722327709198,5.7463526725769,0.10001534968615,-1.722327709198
69,5.63835716247559,0.00001521899685,-1.72152411937714,5.63835716247559,0.10001522302628,-1.72152411937714
70,5.53081464767456,0.00001504621287,-1.72070503234863,5.53081464767456,0.10001504421234,-1.72070503234863
71,5.42375230789185,0.00001482927473,-1.71987056732178,5.42375230789185,0.1000148281455,-1.71987056732178
72,5.31719827651978,0.00001456739301,-1.71902048587799,5.31719827651978,0.10001456737518,-1.71902048587799
73,5.21118068695068,0.00001425977825,-1.71815466880798,5.21118068695068,0.10001426190138,-1.71815466880798
74,5.10572671890259,0.00001390563739,-1.71727275848389,5.10572671890259,0.10001390427351,-1.71727275848389
75,5.00086498260498,0.00001350417733,-1.71637511253357,5.00086498260498,0.10001350939274,-1.71637511253357
76,4.89662170410156,0.00001305460955,-1.71546125411987,4.89662170410156,0.10001305490732,-1.71546125411987
77,4.79302597045898,0.00001255614188,-1.71453094482422,4.79302597045898,0.10001255571842,-1.71453094482422
78,4.69010448455811,0.00001200798306,-1.7135843038559,4.69010448455811,0.10001201182604,-1.7135843038559
79,4.58788585662842,0.00001140934182,-1.71262097358704,4.58788585662842,0.10001140832901,-1.71262097358704
80,4.48639726638794,0.00001075942691,-1.71164083480835,4.48639726638794,0.1000107601285,-1.71164083480835
81,4.385666847229,0.00001005744707,-1.71064388751984,4.385666847229,0.10001005977392,-1.71064388751984
82,4.18658971786499,0.00000849412754,-1.7085987329483,4.18658971786499,0.100008495152,-1.7085987329483
83,3.990877866745,0.00000671305315,-1.70648419857025,3.990877866745,0.10000671446323,-1.70648419857025
84,3.79875183105469,0.00000470789382,-1.70429909229279,3.79875183105469,0.10000471025705,-1.70429909229279
85,3.61043405532837,0.00000247231947,-1.70204246044159,3.61043405532837,0.10000247508287,-1.70204246044159
86,3.42614650726318,0.0,-1.69971311092377,3.42614650726318,0.10000000149012,-1.69971311092377
87,3.24586462974548,-0.00000255228952,-1.69621777534485,3.24586462974548,0.09999744594097,-1.69621777534485
88,3.06939649581909,-0.00000502355397,-1.69045782089233,3.06939649581909,0.09999497979879,-1.69045782089233
89,2.89671015739441,-0.00000741379336,-1.68242418766022,2.89671015739441,0.09999258816242,-1.68242418766022
90,2.72777318954468,-0.00000972300768,-1.67210721969604,2.72777318954468,0.09999027848244,-1.67210721969604
91,2.56255459785461,-0.00001195119694,-1.65949821472168,2.56255459785461,0.09998805075884,-1.65949821472168
92,2.40102195739746,-0.00001409836113,-1.64458787441254,2.40102195739746,0.09998590499163,-1.64458787441254
93,2.24314379692078,-0.00001616450027,-1.62736642360687,2.24314379692078,0.09998383373022,-1.62736642360687
94,2.08888816833496,-0.00001814961433,-1.60782504081726,2.08888816833496,0.09998185187578,-1.60782504081726
95,1.93822360038757,-0.00002005370334,-1.5859546661377,1.93822360038757,0.09997994452715,-1.5859546661377
96,1.79111850261688,-0.00002187676728,-1.56174552440643,1.79111850261688,0.09997812658548,-1.56174552440643
97,1.64754045009613,-0.00002361880615,-1.53518879413605,1.64754045009613,0.09997638314962,-1.53518879413605
98,1.50745797157288,-0.00002527981997,-1.50627493858337,1.50745797157288,0.09997472167015,-1.50627493858337
99,1.3708393573761,-0.00002685980871,-1.4749950170517,1.3708393573761,0.09997314214706,-1.4749950170517
100,1.23765289783478,-0.0000283587724,-1.44133961200714,1.23765289783478,0.09997164458036,-1.44133961200714
101,1.1078667640686,-0.00002977671102,-1.40529942512512,1.1078667640686,0.09997022151947,-1.40529942512512
102,0.98144906759262,-0.00003111362457,-1.36686515808105,0.98144906759262,0.09996888786554,-1.36686515808105
103,0.85836803913116,-0.00003236951306,-1.32602798938751,0.85836803913116,0.09996762871742,-1.32602798938751
104,0.7385920882225,-0.00003354437649,-1.28277838230133,0.7385920882225,0.09996645897627,-1.28277838230133
105,0.62208926677704,-0.00003463821486,-1.23710691928864,0.62208926677704,0.09996536374092,-1.23710691928864
106,0.50882792472839,-0.00003565102816,-1.18900465965271,0.50882792472839,0.09996435046196,-1.18900465965271
107,0.39877611398697,-0.00003658281639,-1.13846218585968,0.39877611398697,0.09996341913939,-1.13846218585968
108,0.29190227389336,-0.00003743357956,-1.08547019958496,0.29190227389336,0.0999625697732,-1.08547019958496
